345,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-22,51.3,41.9,46.7,87.2,11.8,1029.9,85.3,07:29:45,16:02:57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"London, England, United Kingdom"
346,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-23,53.1,47,50,89.8,9.2,1025.6,65.1,07:31:22,16:01:53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"London, England, United Kingdom"
347,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-24,51.7,34.4,42.4,67.7,10.3,1022.3,32.5,07:32:57,16:00:53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"London, England, United Kingdom"
348,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-25,40.4,31.9,35.4,84,5.4,1022,64.7,07:34:32,15:59:55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"London, England, United Kingdom"
349,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-26,45,34.6,38.5,87.4,3.6,1014.4,100,07:36:05,15:59:00,Overcast,Cloudy skies throughout the day.,cloudy,"London, England, United Kingdom"
350,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-27,45.9,39.8,42.3,90.7,12.5,1006.4,99.9,07:37:37,15:58:07,Overcast,Cloudy skies throughout the day.,cloudy,"London, England, United Kingdom"
351,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-28,43.4,39.8,41.5,80.2,5.9,1010.5,87,07:39:07,15:57:18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"London, England, United Kingdom"
352,2023-11-22,51.5064,-0.12721,"['London,UK",2023-11-29,42.2,37.6,40.4,64.9,12.3,1011.1,96,07:40:36,15:56:32,Overcast,Cloudy skies throughout the day.,cloudy,"London, England, United Kingdom"
353,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-22,35.4,17.4,27.7,93.9,19.7,1014.4,73.5,07:57:23,15:09:36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"Stockholm, Stockholms län, Sverige"
354,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-23,37.3,32.3,34.8,92,9.4,985.2,64.9,07:59:40,15:07:53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"Stockholm, Stockholms län, Sverige"
355,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-24,31.5,24.9,28.5,80.3,11.4,986.3,74.2,08:01:55,15:06:13,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"Stockholm, Stockholms län, Sverige"
356,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-25,25.4,19.1,21.9,82.5,11,1001.9,89.5,08:04:08,15:04:37,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"Stockholm, Stockholms län, Sverige"
357,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-26,24.3,20,22,87,7.2,1010.3,85.5,08:06:19,15:03:04,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"Stockholm, Stockholms län, Sverige"
358,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-27,27.6,23.1,25.3,84.3,11.2,1018.5,72.2,08:08:29,15:01:34,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow.,snow,"Stockholm, Stockholms län, Sverige"
359,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-28,28.1,25.6,26.8,82.8,12.8,1014.5,98.8,08:10:36,15:00:08,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"Stockholm, Stockholms län, Sverige"
360,2023-11-22,59.3326,18.0668,"Stockholm, SE",2023-11-29,33,27,30.2,89.9,11,1012.1,99.8,08:12:40,14:58:46,Overcast,Cloudy skies throughout the day.,snow,"Stockholm, Stockholms län, Sverige"
361,2023-11-22,50.4506,30.5243,"Kyiv, UA",2023-11-22,29.7,22.9,27.6,81,6.7,1020.7,88.6,07:22:50,16:04:37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"Київ, Україна"
362,2023-11-22,50.4506,30.5243,"Kyiv, UA",2023-11-23,36.4,20,25.8,76.2,13.4,1012.6,93.5,07:24:23,16:03:37,Overcast,Cloudy skies throughout the day.,snow,"Київ, Україна"
